CODIGOCIE,ESCOLA,DIRETORIA,MUNICIPIO,SERIE,IDPort,IDMat,IndDesemp,IndFluxo,IDESP,META,ORDEM,_REGICAO_NOME,_ANO,_DIRETORIA_ID,_MUNICIPIO_ID,_ESCOLA_ID,_ERROR_ID,_ERROR_INFOS,error_id,request_data
019197,OSCAR VILLARES,SAO JOAO DA BOA VISTA,MOCOCA,9º ANO EF,"3,6017","2,6820","3,14","1,0000","3,14",,2.0,INTERIOR,2021,20413,453,019197,,,,
019197,OSCAR VILLARES,SAO JOAO DA BOA VISTA,MOCOCA,3º ANO EM,"2,0947","1,1430","1,62","1,0000","1,62",,3.0,INTERIOR,2021,20413,453,019197,,,,
905537,NANCY DE REZENDE ZAMARIAN PROFESSORA,SAO JOAO DA BOA VISTA,MOCOCA,5º ANO EF,"4,9737","4,0743","4,52","1,0000","4,52",,1.0,INTERIOR,2021,20413,453,905537,,,,
024697,ADOLFO ALFEU FERRERO,SAO JOAQUIM DA BARRA,SAO JOAQUIM DA BARRA,5º ANO EF,"5,2580","4,8113","5,03","1,0000","5,03",,1.0,INTERIOR,2021,20510,642,024697,,,,
018971,JOAO DE MOURA GUIMARAES PROFESSOR,SAO JOAO DA BOA VISTA,MOCOCA,5º ANO EF,"2,9167","1,6667","2,29","1,0000","2,29",,1.0,INTERIOR,2021,20413,453,018971,,,,
018971,JOAO DE MOURA GUIMARAES PROFESSOR,SAO JOAO DA BOA VISTA,MOCOCA,9º ANO EF,"1,4443","1,7777","1,61","1,0000","1,61",,2.0,INTERIOR,2021,20413,453,018971,,,,
018971,JOAO DE MOURA GUIMARAES PROFESSOR,SAO JOAO DA BOA VISTA,MOCOCA,3º ANO EM,"0,4167","0,4167","0,42","1,0000","0,42",,3.0,INTERIOR,2021,20413,453,018971,,,,
019215,JOAO CID GODOY PROFESSOR,SAO JOAO DA BOA VISTA,MOCOCA,9º ANO EF,"2,5753","1,8177","2,20","1,0000","2,20",,2.0,INTERIOR,2021,20413,453,019215,,,,
019215,JOAO CID GODOY PROFESSOR,SAO JOAO DA BOA VISTA,MOCOCA,3º ANO EM,"1,4443","0,8890","1,17","1,0000","1,17",,3.0,INTERIOR,2021,20413,453,019215,,,,
019070,HILDA SILVA PROFESSORA,SAO JOAO DA BOA VISTA,MOCOCA,5º ANO EF,"5,2730","4,1297","4,70","1,0000","4,70",,1.0,INTERIOR,2021,20413,453,019070,,,,
041497,CARLOS LIMA DIAS DOUTOR,SAO JOAO DA BOA VISTA,MOCOCA,9º ANO EF,"3,5030","2,7680","3,14","0,9761","3,06",,2.0,INTERIOR,2021,20413,453,041497,,,,
041497,CARLOS LIMA DIAS DOUTOR,SAO JOAO DA BOA VISTA,MOCOCA,3º ANO EM,"2,1567","1,9613","2,06","0,9753","2,01",,3.0,INTERIOR,2021,20413,453,041497,,,,
019203,BENEDITO FERRAZ BUENO PROFESSOR,SAO JOAO DA BOA VISTA,MOCOCA,5º ANO EF,"2,4997","2,4997","2,50","0,9634","2,41",,1.0,INTERIOR,2021,20413,453,019203,,,,
019203,BENEDITO FERRAZ BUENO PROFESSOR,SAO JOAO DA BOA VISTA,MOCOCA,9º ANO EF,"2,3333","1,6667","2,00","0,9452","1,89",,2.0,INTERIOR,2021,20413,453,019203,,,,
019161,BARAO DE MONTE SANTO,SAO JOAO DA BOA VISTA,MOCOCA,9º ANO EF,"3,1443","2,6137","2,88","1,0000","2,88",,2.0,INTERIOR,2021,20413,453,019161,,,,
019161,BARAO DE MONTE SANTO,SAO JOAO DA BOA VISTA,MOCOCA,3º ANO EM,"1,0637","0,5673","0,82","1,0000","0,82",,3.0,INTERIOR,2021,20413,453,019161,,,,
919366,BAIRRO JAGUARI,SAO JOAO DA BOA VISTA,SANTO ANTONIO DO JARDIM,9º ANO EF,"4,7827","3,9137","4,35","1,0000","4,35",,2.0,INTERIOR,2021,20413,628,919366,,,,
919366,BAIRRO JAGUARI,SAO JOAO DA BOA VISTA,SANTO ANTONIO DO JARDIM,3º ANO EM,"1,8180","0,9090","1,36","1,0000","1,36",,3.0,INTERIOR,2021,20413,628,919366,,,,
015600,CAETANO CARBONE PROFESSOR,ITARARE,ITARARE,9º ANO EF,"4,2590","2,9413","3,60","0,9727","3,50","3,74",2.0,INTERIOR,2019,20313,380,015600,,,,
015600,CAETANO CARBONE PROFESSOR,ITARARE,ITARARE,3º ANO EM,"4,3137","3,0957","3,70","0,9044","3,35","3,50",3.0,INTERIOR,2019,20313,380,015600,,,,
